spotifty id,name,artist,artist followers,genre,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6uFpwigsKJ1gDTaDjeabIN,Evolving Dreams,Ty Davies,17,[],Evolving Dreams,2022-02-11,187176,50,0.943,0.202,0.0116,0.949,3,0.111,-38.192,1,0.0379,72.609,4,0.0365
0MQm7MYFD4ZBocFv0AgS5L,Dreams Dissolving,Mathilda Skonare Karlsson,95,[],Dreams Dissolving,2022-01-14,176874,49,0.973,0.227,0.0747,0.935,2,0.103,-29.483,1,0.0388,72.484,3,0.0372
0SpMQOXBNSSrFD0n7xIxL4,Whalus,Hibisc,115,[],Whalus,2022-02-21,111470,58,0.983,0.198,0.00933,0.75,7,0.127,-32.029,1,0.0418,69.888,4,0.0393
4wGackeK3YeTnh1Mo0dB2e,Silhouettes,Lucas Delphy,1051,[],Silhouettes,2022-01-13,138973,48,0.969,0.191,0.0186,0.972,0,0.111,-30.392,1,0.0392,66.489,4,0.0393
4cAGCkkLv77F0VWFPkQxUG,My Heart,Bella Mie,18,[],My Heart,2022-02-13,177631,52,0.888,0.26,0.107,0.943,2,0.111,-29.449,1,0.0358,151.842,4,0.0376
3laOoR0JIzPzpuxYb8FATY,Aurora,fast and sea,8,[],Beginnings,2022-03-13,205026,48,0.738,0.201,0.00939,0.949,6,0.107,-25.074,1,0.0349,79.442,4,0.0381
4Bu9EvfqsB5nms68U50oqT,Elliptical Orbit,Velvet Garden,14,[],Elliptical Orbit,2022-01-21,188852,48,0.89,0.163,0.0432,0.742,2,0.0902,-27.892,1,0.0397,140.02,3,0.0383
7qZpqqLkUxYFimW4zb1sYM,Evening Unbroken,Jeff Birma,279,['sleep'],Evening Unbroken,2022-05-13,188400,0,0.899,0.0605,0.017,0.778,0,0.115,-30.016,1,0.0509,67.122,4,0.0263
7aK1caHaXe63BtAoIFvN2h,Still Life,De Moi,1234,['ambient guitar'],Still Life,2022-02-11,198000,48,0.943,0.165,0.0448,0.779,2,0.0912,-28.218,1,0.0426,135.893,4,0.0565
4WF88Pk0JMP7uOpdrd0bDL,Authentic,Chév Asto,22,[],Authentic,2022-02-13,192374,52,0.948,0.215,0.0527,0.899,0,0.0985,-29.716,1,0.0314,68.358,3,0.0462
5cNxtUwvAsml2dxp4zpoVa,Soft Answers,Neoline Ewing,50,[],Soft Answers,2022-01-13,203565,64,0.913,0.18,0.00261,0.819,0,0.108,-38.737,1,0.0437,74.683,1,0.0652
3rXBtD5ukfXblk5F1aNF4Z,Weaving Dreams,Hanna Lindgren,40,[],Weaving Dreams,2022-01-07,171365,47,0.862,0.137,0.025,0.585,3,0.109,-29.832,1,0.0574,142.233,1,0.0319
797PxzByzDMw8s2fpTRPuJ,Consciencia,Lidia Peralta,35,[],Consciencia,2022-02-14,166403,47,0.975,0.189,0.0194,0.868,2,0.108,-30.652,1,0.0421,142.908,4,0.141
4rEHRykxSQvP6mA23Umt71,In Solitude,Restorative,51,[],In Solitude,2022-03-10,151714,65,0.989,0.19,0.0124,0.878,5,0.0916,-33.75,1,0.0461,135.251,3,0.0346
4HeGTGqUfgIA98HEkIWTp2,apoapsis,our distant worlds,200,[],apoapsis,2021-10-28,238500,61,0.33,0.147,0.0488,0.856,1,0.0816,-30.608,0,0.0406,139.008,3,0.177
3Ac6RvFQVb4TMY4rjGLS2Y,Rooted,Jordan Beggs,232,[],Rooted,2022-02-18,201000,52,0.981,0.102,0.0238,0.943,1,0.175,-30.575,1,0.0404,91.031,4,0.0393
4LhT34N5XqFSNlNV6z9S1M,Floating Mind,Boris Rosenbaum,13,[],Floating Mind,2022-01-21,184000,46,0.815,0.18,0.0689,0.696,5,0.111,-29.969,1,0.0405,73.098,5,0.0391
2pMeoS1SZqigdBMxghMTbJ,Tikslingas,Teo Walter,2,[],Tikslingas,2022-04-18,211880,41,0.986,0.222,0.0312,0.838,10,0.11,-32.27,0,0.0461,66.071,3,0.0832
